run_label,mode,arm,hypothesis_id,trigger_id,trigger_type,test_id,status,test_status,test_path,test_sha256,same_test,hypothesis_sha256,mechanism_match,oracle_status,buggy_exit,fixed_exit,buggy_state,fixed_state,buggy_failure_type,fixed_failure_type,buggy_exception,fixed_exception,classification,verified_f2p,failure_category,activation,repair_attempts,llm_calls,prompt_tokens,completion_tokens,wall_clock_seconds,buggy_log,fixed_log
live2,natural,HYPOTHESIS_STAGE,natural_h01,,,,NO_SUPPORTED_HYPOTHESIS,MODEL_OUTPUT_FAILURE,,,,,,,,,,,,,,,NO_SUPPORTED_HYPOTHESIS,,HYPOTHESIS_STAGE,,,1,15712,218,,,
live2,natural,HYPOTHESIS_STAGE,natural_h02,,,,MODEL_ERROR,MODEL_OUTPUT_FAILURE,,,,,,,,,,,,,,,MODEL_ERROR,,HYPOTHESIS_STAGE,,,1,0,0,,,
live2,natural,HYPOTHESIS_STAGE,natural_h03,,,,MODEL_ERROR,MODEL_OUTPUT_FAILURE,,,,,,,,,,,,,,,MODEL_ERROR,,HYPOTHESIS_STAGE,,,1,0,0,,,
live2,natural,HYPOTHESIS_STAGE,natural_h04,,,,NO_SUPPORTED_HYPOTHESIS,MODEL_OUTPUT_FAILURE,,,,,,,,,,,,,,,NO_SUPPORTED_HYPOTHESIS,,HYPOTHESIS_STAGE,,,1,15712,338,,,
live2,natural,HYPOTHESIS_STAGE,natural_h05,,,,NO_SUPPORTED_HYPOTHESIS,MODEL_OUTPUT_FAILURE,,,,,,,,,,,,,,,NO_SUPPORTED_HYPOTHESIS,,HYPOTHESIS_STAGE,,,1,15712,232,,,
live1,conditional,C1,conditional-h01-e0c8bd3ab2,direct,DIRECT,conditional-h01-e0c8bd3ab2-direct,TEST,EXECUTABLE,generated_tests/experiment3/conditional_live1/C1/conditional-h01-e0c8bd3ab2-direct.py,0b4a5a574e32c4e17021db658194ee4b7ade9da68708314d5db587188365cb03,True,e0c8bd3ab2481f840b4ee7e6902b44ec0bee11d05fbea5261ae5ad5af3f1e7c2,yes,SUPPORTED_ORACLE,1,0,FAIL,PASS,ASSERTION_FAILURE,,AssertionError,,ASSERTION_F2P,True,VALID_ASSERTION_F2P,ACTIVATED,0,,,,2.842,artifacts/execution_logs/experiment3/live1/conditional_C1_conditional-h01-e0c8bd3ab2_direct_buggy.log,artifacts/execution_logs/experiment3/live1/conditional_C1_conditional-h01-e0c8bd3ab2_direct_fixed.log
live1,conditional,C1,conditional-h02-c19fcca1ca,direct,DIRECT,conditional-h02-c19fcca1ca-direct,TEST,EXECUTABLE,generated_tests/experiment3/conditional_live1/C1/conditional-h02-c19fcca1ca-direct.py,6a31852081ce933121d784cf21e434d60e136a9109564471aec034ab1f95e8ff,True,c19fcca1ca6f1ac998539ccd9c008059015bdca92b9276801c639484bdcfe692,yes,SUPPORTED_ORACLE,1,1,FAIL,FAIL,TARGET_EXCEPTION,TARGET_EXCEPTION,UnicodeEncodeError,UnicodeEncodeError,F2F,False,SEMANTIC_NON_TRIGGER,ACTIVATED,0,,,,1.734,artifacts/execution_logs/experiment3/live1/conditional_C1_conditional-h02-c19fcca1ca_direct_buggy.log,artifacts/execution_logs/experiment3/live1/conditional_C1_conditional-h02-c19fcca1ca_direct_fixed.log
live1,conditional,C1,conditional-h03-768b90f0a5,direct,DIRECT,conditional-h03-768b90f0a5-direct,TEST,EXECUTABLE,generated_tests/experiment3/conditional_live1/C1/conditional-h03-768b90f0a5-direct.py,3b219554d6224ecc382d80ce9171712f0dbc3e1947c248dae64a50dbec8060d9,True,768b90f0a584e3ab99782b4766e6a8e28474486ecb76eeab883184fac7f32c1c,yes,SUPPORTED_ORACLE,0,0,PASS,PASS,,,,,P2P,False,TRIGGER_TOO_WEAK,NOT_ACTIVATED,0,,,,2.808,artifacts/execution_logs/experiment3/live1/conditional_C1_conditional-h03-768b90f0a5_direct_buggy.log,artifacts/execution_logs/experiment3/live1/conditional_C1_conditional-h03-768b90f0a5_direct_fixed.log
live1,conditional,C1,conditional-h04-a9ae48b9d8,direct,DIRECT,conditional-h04-a9ae48b9d8-direct,TEST,EXECUTABLE,generated_tests/experiment3/conditional_live1/C1/conditional-h04-a9ae48b9d8-direct.py,73b3c8738928b6c431f14773e54b95bf6d04245c511d177a4ccd63997b8e3cb8,True,a9ae48b9d893c88b17406f0c9ec663488f2c39df8465b94da1c40f0ad327fa14,yes,SUPPORTED_ORACLE,1,0,FAIL,PASS,ASSERTION_FAILURE,,AssertionError,,ASSERTION_F2P,True,VALID_ASSERTION_F2P,ACTIVATED,0,,,,2.29,artifacts/execution_logs/experiment3/live1/conditional_C1_conditional-h04-a9ae48b9d8_direct_buggy.log,artifacts/execution_logs/experiment3/live1/conditional_C1_conditional-h04-a9ae48b9d8_direct_fixed.log
live1,conditional,C1,conditional-h05-080bc02016,direct,DIRECT,conditional-h05-080bc02016-direct,TEST,EXECUTABLE,generated_tests/experiment3/conditional_live1/C1/conditional-h05-080bc02016-direct.py,5fce7f15b7673741d87657f32d3f7dbcad04c21229e12ef82ec8f709f04ef242,True,080bc02016cd546877b681eb6e3976c601936656104c3a4d7860f5d665e770c1,yes,SUPPORTED_ORACLE,0,0,PASS,PASS,,,,,P2P,False,TRIGGER_TOO_WEAK,NOT_ACTIVATED,0,,,,2.355,artifacts/execution_logs/experiment3/live1/conditional_C1_conditional-h05-080bc02016_direct_buggy.log,artifacts/execution_logs/experiment3/live1/conditional_C1_conditional-h05-080bc02016_direct_fixed.log
live1,conditional,C2,conditional-h01-e0c8bd3ab2,planner,PLANNER,,TRIGGER_PLANNER_ERROR,MODEL_OUTPUT_FAILURE,,,,e0c8bd3ab2481f840b4ee7e6902b44ec0bee11d05fbea5261ae5ad5af3f1e7c2,yes,UNSUPPORTED_ORACLE,,,,,,,,,TRIGGER_PLANNER_ERROR,,MODEL_OUTPUT_FAILURE,,0,,,,0,,
live1,conditional,C2,conditional-h02-c19fcca1ca,planner,PLANNER,,TRIGGER_PLANNER_ERROR,MODEL_OUTPUT_FAILURE,,,,c19fcca1ca6f1ac998539ccd9c008059015bdca92b9276801c639484bdcfe692,yes,UNSUPPORTED_ORACLE,,,,,,,,,TRIGGER_PLANNER_ERROR,,MODEL_OUTPUT_FAILURE,,0,,,,0,,
live1,conditional,C2,conditional-h03-768b90f0a5,conditional-h03-768b90f0a5-t1,ENVIRONMENT,conditional-h03-768b90f0a5-conditional-h03-768b90f0a5-t1,TEST,EXECUTABLE,generated_tests/experiment3/conditional_live1/C2/conditional-h03-768b90f0a5-conditional-h03-768b90f0a5-t1.py,56dabb17dc3c77845bcd317a5c35170c1b8c8df9a1782f3393edd4ea29207627,True,768b90f0a584e3ab99782b4766e6a8e28474486ecb76eeab883184fac7f32c1c,yes,SUPPORTED_ORACLE,0,0,PASS,PASS,,,,,P2P,False,TRIGGER_TOO_WEAK,NOT_ACTIVATED,0,,,,3.723,artifacts/execution_logs/experiment3/live1/conditional_C2_conditional-h03-768b90f0a5_conditional-h03-768b90f0a5-t1_buggy.log,artifacts/execution_logs/experiment3/live1/conditional_C2_conditional-h03-768b90f0a5_conditional-h03-768b90f0a5-t1_fixed.log
